Location,Shot,Offside,AirDuelWon,GroundDuelWon,Corner,CrossAcc,Foul,Tackle,SprintD,Cross,OppRank,LSRD,TackleWon,HSRE,MSRD,FwdPass
1,13,3,64.52,50.88,1,25,20,13,1230.9,8,0,86691,53.85,354.2,14479.3,322
0,13,4,35.48,49.15,3,15,20,25,1202.3,20,0,84992.6,44,347.6,14866.5,342
1,18,1,47.37,59.26,4,13.33,20,25,1636.8,15,0,82979.6,64,343.2,12713.8,317
0,7,0,52.63,40.74,3,9.09,15,22,1570.8,11,0,84060.9,63.64,343.2,13054.8,234
1,25,1,42.86,55.56,10,40.43,11,30,1032.9,47,1,89820.5,70,429,19105.9,377
0,4,5,56.92,44.23,3,11.11,17,30,1232,9,0,93218.4,70,419.1,17678.1,310
1,15,2,62.5,48.15,7,17.65,14,19,968,17,1,84433.8,78.95,368.5,13393.6,314
0,11,3,37.5,51.85,3,37.5,16,14,911.9,16,0,84594.4,78.57,312.4,11826.1,300
1,10,4,50,40,6,35,19,23,1276,20,1,86467.7,52.17,346.5,14294.5,346
0,19,1,50,60,4,21.05,17,14,1112.1,19,0,83793.6,57.14,294.8,11508.2,307
1,12,2,66.67,50,3,9.09,11,21,1672,11,0,90993.1,52.38,370.7,13339.7,319
0,8,2,33.33,50,1,50,19,12,1410.2,6,0,89634.6,75,374,15027.1,349
1,16,3,48.33,48.57,10,30.3,12,18,1290.3,33,0,90861.1,55.56,422.4,17349.2,446
0,10,9,51.67,51.43,1,16.67,16,21,1428.9,12,0,95026.8,57.14,379.5,17110.5,274
1,8,3,52.5,58.33,4,22.73,15,20,1355.2,22,0,89361.8,60,379.5,15820.2,356
0,5,2,47.5,42,3,30.77,17,22,1316.7,13,0,85950.7,68.18,376.2,15420.9,341
1,10,8,58.82,51.43,1,8.33,14,27,887.7,12,1,88777.7,77.78,315.7,12874.4,392
0,7,3,41.18,48.57,6,26.32,6,14,891,19,0,85072.9,57.14,304.7,11448.8,261
1,15,1,41.03,48,9,17.39,17,16,1553.2,23,0,83169.9,31.25,330,12002.1,285
0,9,4,58.97,52,1,35.71,21,19,1559.8,14,0,82729.9,47.37,304.7,11436.7,230
1,18,3,57.14,45.16,4,29.17,15,20,1208.9,24,0,89054.9,75,352,14504.6,408
0,7,0,42.86,54.84,2,10,13,16,1113.2,10,0,89182.5,81.25,388.3,15110.7,306
1,22,0,50,53.57,8,23.68,11,20,951.5,38,1,84902.4,95,313.5,12171.5,431
0,4,3,50,46.43,0,20,19,23,1215.5,5,0,89953.6,78.26,341,13978.8,303
1,15,3,39.53,36.36,6,26.09,19,21,1268.3,23,1,85045.4,71.43,382.8,14314.3,353
0,8,2,60.47,63.64,4,25,17,25,1233.1,16,0,85411.7,48,343.2,14556.3,269
1,12,2,41.3,67.35,2,26.32,12,28,1551,19,1,89701.7,57.14,400.4,14738.9,315
0,8,0,58.7,32.65,5,15.79,25,38,1425.6,19,0,87885.6,71.05,352,14634.4,333
1,9,1,60.61,54.24,7,25.81,20,26,1469.6,31,1,88405.9,80.77,451,16835.5,350
0,3,3,39.39,45.76,7,25,21,28,1052.7,16,0,91613.5,53.57,347.6,14756.5,319
1,23,1,42.31,27.27,9,29.41,21,29,1147.3,34,0,87253.1,72.41,359.7,13681.8,351
0,6,1,57.69,72.73,3,50,23,28,1315.6,10,0,87312.5,60.71,376.2,14586,236
1,18,0,44.68,44.83,6,33.33,16,13,1172.6,33,0,89897.5,46.15,381.7,14945.7,392
0,11,3,55.32,55.17,0,12.5,20,8,1029.6,8,0,90740.1,87.5,369.6,14251.6,257
1,23,1,43.24,53.66,6,23.33,19,16,1650,30,1,88542.3,87.5,475.2,16953.2,324
0,9,2,56.76,46.34,0,40,24,13,1257.3,5,0,84135.7,69.23,327.8,13498.1,240
1,15,2,50,55.81,3,21.43,22,42,1962.4,28,0,92072.2,61.9,493.9,16897.1,329
0,15,3,50,44.19,6,23.81,21,33,1514.7,21,0,87547.9,63.64,423.5,14857.7,274
1,20,2,66.67,48.15,12,21.74,10,18,1952.5,46,0,89732.5,44.44,419.1,15880.7,400
0,10,3,33.33,51.85,3,25,14,22,1386,8,0,91050.3,72.73,335.5,14153.7,256
